*****************************************************************
Pin Report - Date: Wed Mar 18 14:32:22 2026 UNCOMPLETED LAYOUT
Product: Designer
Release: v11.9 SP6
Version: 11.9.6.7
Design Name: clk
Family: ProASIC3E
Die: A3PE1500
Package: 484 FBGA
*****************************************************************
Number |Port |Function         |State       |
B18           IO54PDB1V3        Unassigned
B19           Not Bonded        Unconnected
B20           Not Bonded        Unconnected
B21           VCCIB2            Reserved
B22           GND               Reserved
C1            VCCIB7            Reserved
C2            Not Bonded        Unconnected
C3            Not Bonded        Unconnected
C4            Not Bonded        Unconnected
C5            GND               Reserved
C6            IO07NDB0V0        Unassigned
C7            IO07PDB0V0        Unassigned
C8            VCC               Reserved
C9            VCC               Reserved
C10           IO20NDB0V2        Unassigned
C11           IO29NDB0V3        Unassigned
C12           Not Bonded        Unconnected
C13           Not Bonded        Unconnected
C14           VCC               Reserved
C15           VCC               Reserved
C16           Not Bonded        Unconnected
C17           Not Bonded        Unconnected
C18           GND               Reserved
C19           Not Bonded        Unconnected
C20           Not Bonded        Unconnected
C21           Not Bonded        Unconnected
C22           VCCIB2            Reserved
D1            Not Bonded        Unconnected
D2            Not Bonded        Unconnected
D3            Not Bonded        Unconnected
D4            GND               Reserved
D5            GAA0/IO00NDB0V0   Special
D6            GAA1/IO00PDB0V0   Special
D7            GAB0/IO01NDB0V0   Special
D8            IO09PDB0V1        Unassigned
D9            IO13PDB0V1        Unassigned
D10           IO21PDB0V2        Unassigned
D11           IO31NDB0V3        Unassigned
D12           IO37NDB1V0        Unassigned
D13           IO37PDB1V0        Unassigned
D14           IO49NDB1V2        Unassigned
D15           IO49PDB1V2        Unassigned
D16           GBB1/IO56PDB1V3   Special
D17           GBA0/IO57NDB1V3   Special
D18           GBA1/IO57PDB1V3   Special
D19           GND               Reserved
D20           Not Bonded        Unconnected
D21           IO69PDB2V1        Unassigned
D22           Not Bonded        Unconnected
E1            Not Bonded        Unconnected
E2            IO218PPB7V3       Unassigned
E3            GND               Reserved
E4            GAB2/IO220PDB7V3  Special
E5            GAA2/IO221PDB7V3  Special
E6            GNDQ              Reserved
E7            GAB1/IO01PDB0V0   Special
E8            IO09NDB0V1        Unassigned
E9            IO13NDB0V1        Unassigned
E10           IO21NDB0V2        Unassigned
E11           IO31PDB0V3        Unassigned
E12           IO35NDB1V0        Unassigned
E13           IO41NDB1V1        Unassigned
E14           IO41PDB1V1        Unassigned
E15           GBC1/IO55PDB1V3   Special
E16           GBB0/IO56NDB1V3   Special
E17           GNDQ              Reserved
E18           GBA2/IO58PDB2V0   Special
E19           IO63NDB2V0        Unassigned
E20           GND               Reserved
E21           IO69NDB2V1        Unassigned
E22           Not Bonded        Unconnected
F1            IO218NPB7V3       Unassigned
F2            IO216NDB7V3       Unassigned
F3            IO216PDB7V3       Unassigned
F4            IO220NDB7V3       Unassigned
F5            IO221NDB7V3       Unassigned
F6            VMV7              Reserved
F7            VCCPLA            Reserved
F8            GAC0/IO02NDB0V0   Special
F9            GAC1/IO02PDB0V0   Special
F10           IO23NDB0V2        Unassigned
F11           IO23PDB0V2        Unassigned
F12           IO35PDB1V0        Unassigned
F13           IO39NDB1V0        Unassigned
F14           IO45PDB1V1        Unassigned
F15           GBC0/IO55NDB1V3   Special
F16           VCCPLB            Reserved
F17           VMV2              Reserved
F18           IO58NDB2V0        Unassigned
F19           IO63PDB2V0        Unassigned
F20           Not Bonded        Unconnected
F21           Not Bonded        Unconnected
F22           Not Bonded        Unconnected
G1            IO211NDB7V2       Unassigned
G2            IO211PDB7V2       Unassigned
G3            Not Bonded        Unconnected
G4            IO214PDB7V3       Unassigned
G5            IO217PDB7V3       Unassigned
G6            GAC2/IO219PDB7V3  Special
G7            VCOMPLA           Reserved
G8            GNDQ              Reserved
G9            IO19NDB0V2        Unassigned
G10           IO19PDB0V2        Unassigned
G11           IO25PDB0V3        Unassigned
G12           IO33PDB1V0        Unassigned
G13           IO39PDB1V0        Unassigned
G14           IO45NDB1V1        Unassigned
G15           GNDQ              Reserved
G16           VCOMPLB           Reserved
G17           GBB2/IO59PDB2V0   Special
G18           IO62PDB2V0        Unassigned
G19           IO62NDB2V0        Unassigned
G20           IO71PDB2V2        Unassigned
G21           IO71NDB2V2        Unassigned
G22           Not Bonded        Unconnected
H1            IO209PSB7V2       Unassigned
H2            Not Bonded        Unconnected
H3            VCC               Reserved
H4            IO214NDB7V3       Unassigned
H5            IO217NDB7V3       Unassigned
H6            IO219NDB7V3       Unassigned
H7            IO215PDB7V3       Unassigned
H8            VMV0              Reserved
H9            VCCIB0            Reserved
H10           VCCIB0            Reserved
H11           IO25NDB0V3        Unassigned
H12           IO33NDB1V0        Unassigned
H13           VCCIB1            Reserved
H14           VCCIB1            Reserved
H15           VMV1              Reserved
H16           GBC2/IO60PDB2V0   Special
H17           IO59NDB2V0        Unassigned
H18           IO67NDB2V1        Unassigned
H19           IO67PDB2V1        Unassigned
H20           VCC               Reserved
H21           VMV2              Reserved
H22           IO74PSB2V2        Unassigned
J1            IO212NDB7V2       Unassigned
J2            IO212PDB7V2       Unassigned
J3            VMV7              Reserved
J4            IO206PDB7V1       Unassigned
J5            IO204PDB7V1       Unassigned
J6            IO210PDB7V2       Unassigned
J7            IO215NDB7V3       Unassigned
J8            VCCIB7            Reserved
J9            GND               Reserved
J10           VCC               Reserved
J11           VCC               Reserved
J12           VCC               Reserved
J13           VCC               Reserved
J14           GND               Reserved
J15           VCCIB2            Reserved
J16           IO60NDB2V0        Unassigned
J17           IO65NDB2V1        Unassigned
J18           IO65PDB2V1        Unassigned
J19           IO75PPB2V2        Unassigned
J20           GNDQ              Reserved
J21           IO77PDB2V2        Unassigned
J22           IO79PDB2V3        Unassigned
K1            IO200NDB7V1       Unassigned
K2            IO200PDB7V1       Unassigned
K3            GNDQ              Reserved
K4            IO206NDB7V1       Unassigned
K5            IO204NDB7V1       Unassigned
K6            IO210NDB7V2       Unassigned
K7            GFC1/IO192PPB7V0  Special
K8            VCCIB7            Reserved
K9            VCC               Reserved
K10           GND               Reserved
K11           GND               Reserved
K12           GND               Reserved
K13           GND               Reserved
K14           VCC               Reserved
K15           VCCIB2            Reserved
K16           GCC1/IO85PPB2V3   Special
K17           IO73NDB2V2        Unassigned
K18           IO73PDB2V2        Unassigned
K19           IO81NPB2V3        Unassigned
K20           IO75NPB2V2        Unassigned
K21           IO77NDB2V2        Unassigned
K22           IO79NDB2V3        Unassigned
L1            Not Bonded        Unconnected
L2            IO196PDB7V0       Unassigned
L3            IO196NDB7V0       Unassigned
L4            GFB0/IO191NPB7V0  Special
L5            GFA0/IO190NDB6V2  Special
L6            GFB1/IO191PPB7V0  Special
L7            VCOMPLF           Reserved
L8            GFC0/IO192NPB7V0  Special
L9            VCC               Reserved
L10           GND               Reserved
L11           GND               Reserved
L12           GND               Reserved
L13           GND               Reserved
L14           VCC               Reserved
L15           GCC0/IO85NPB2V3   Special
L16           GCB1/IO86PPB2V3   Special
L17           GCA0/IO87NPB3V0   Special
L18           VCOMPLC           Reserved
L19           GCB0/IO86NPB2V3   Special
L20           IO81PPB2V3        Unassigned
L21           IO83NDB2V3        Unassigned
L22           IO83PDB2V3        Unassigned
M1            GNDQ              Reserved
M2            IO185NPB6V2       Unassigned
M3            IO189NDB6V2       Unassigned
M4            GFA2/IO189PDB6V2  Special
M5            GFA1/IO190PDB6V2  Special
M6            VCCPLF            Reserved
M7            IO188NDB6V2       Unassigned
M8            GFB2/IO188PDB6V2  Special
M9            VCC               Reserved
M10           GND               Reserved
M11           GND               Reserved
M12           GND               Reserved
M13           GND               Reserved
M14           VCC               Reserved
M15           GCB2/IO89PPB3V0   Special
M16           GCA1/IO87PPB3V0   Special
M17           GCC2/IO90PPB3V0   Special
M18           VCCPLC            Reserved
M19           GCA2/IO88PDB3V0   Special
M20           IO88NDB3V0        Unassigned
M21           IO93PDB3V0        Unassigned
M22           Not Bonded        Unconnected
N1            IO185PPB6V2       Unassigned
N2            IO183NDB6V2       Unassigned
N3            VMV6              Reserved
N4            GFC2/IO187PPB6V2  Special
N5            IO184PPB6V2       Unassigned
N6            IO186PDB6V2       Unassigned
N7            IO186NDB6V2       Unassigned
N8            VCCIB6            Reserved
N9            VCC               Reserved
N10           GND               Reserved
N11           GND               Reserved
N12           GND               Reserved
N13           GND               Reserved
N14           VCC               Reserved
N15           VCCIB3            Reserved
N16           IO89NPB3V0        Unassigned
N17           IO91NPB3V0        Unassigned
N18           IO90NPB3V0        Unassigned
N19           IO91PPB3V0        Unassigned
N20           GNDQ              Reserved
N21           IO93NDB3V0        Unassigned
N22           IO95PDB3V1        Unassigned
P1            Not Bonded        Unconnected
P2            IO183PDB6V2       Unassigned
P3            IO187NPB6V2       Unassigned
P4            IO184NPB6V2       Unassigned
P5            IO176PPB6V1       Unassigned
P6            IO182PDB6V1       Unassigned
P7            IO182NDB6V1       Unassigned
P8            VCCIB6            Reserved
P9            GND               Reserved
P10           VCC               Reserved
P11           VCC               Reserved
P12           VCC               Reserved
P13           VCC               Reserved
P14           GND               Reserved
P15           VCCIB3            Reserved
P16           GDB0/IO109NPB3V2  Special
P17           IO97NDB3V1        Unassigned
P18           IO97PDB3V1        Unassigned
P19           IO99PDB3V1        Unassigned
P20           VMV3              Reserved
P21           IO98PDB3V1        Unassigned
P22           IO95NDB3V1        Unassigned
R1            Not Bonded        Unconnected
R2            IO177PDB6V1       Unassigned
R3            VCC               Reserved
R4            IO176NPB6V1       Unassigned
R5            IO174NDB6V0       Unassigned
R6            IO174PDB6V0       Unassigned
R7            GEC0/IO169NPB6V0  Special
R8            VMV5              Reserved
R9            VCCIB5            Reserved
R10           VCCIB5            Reserved
R11           IO135NDB5V0       Unassigned
R12           IO135PDB5V0       Unassigned
R13           VCCIB4            Reserved
R14           VCCIB4            Reserved
R15           VMV3              Reserved
R16           VCCPLD            Reserved
R17           GDB1/IO109PPB3V2  Special
R18           GDC1/IO108PDB3V2  Special
R19           IO99NDB3V1        Unassigned
R20           VCC               Reserved
R21           IO98NDB3V1        Unassigned
R22           IO101PDB3V1       Unassigned
T1            Not Bonded        Unconnected
T2            IO177NDB6V1       Unassigned
T3            Not Bonded        Unconnected
T4            IO171PDB6V0       Unassigned
T5            IO171NDB6V0       Unassigned
T6            GEC1/IO169PPB6V0  Special
T7            VCOMPLE           Reserved
T8            GNDQ              Reserved
T9            GEA2/IO166PPB5V3  Special
T10           IO145NDB5V1       Unassigned
T11           IO141NDB5V0       Unassigned
T12           IO139NDB5V0       Unassigned
T13           IO119NDB4V1       Unassigned
T14           IO119PDB4V1       Unassigned
T15           GNDQ              Reserved
T16           VCOMPLD           Reserved
T17           VJTAG             Reserved
T18           GDC0/IO108NDB3V2  Special
T19           GDA1/IO110PDB3V2  Special
T20           Not Bonded        Unconnected
T21           IO103PDB3V2       Unassigned
T22           IO101NDB3V1       Unassigned
U1            IO175PPB6V1       Unassigned
U2            IO173PDB6V0       Unassigned
U3            IO173NDB6V0       Unassigned
U4            GEB1/IO168PDB6V0  Special
U5            GEB0/IO168NDB6V0  Special
U6            VMV6              Reserved
U7            VCCPLE            Reserved
U8            IO166NPB5V3       Unassigned
U9            IO157PPB5V2       Unassigned
U10           IO145PDB5V1       Unassigned
U11           IO141PDB5V0       Unassigned
U12           IO139PDB5V0       Unassigned
U13           IO121NDB4V1       Unassigned
U14           IO121PDB4V1       Unassigned
U15           VMV4              Reserved
U16           TCK               Reserved
U17           VPUMP             Reserved
U18           TRST              Reserved
U19           GDA0/IO110NDB3V2  Special
U20           Not Bonded        Unconnected
U21           IO103NDB3V2       Unassigned
U22           IO105PDB3V2       Unassigned
V1            Not Bonded        Unconnected
V2            IO175NPB6V1       Unassigned
V3            GND               Reserved
V4            GEA1/IO167PDB6V0  Special
V5            GEA0/IO167NDB6V0  Special
V6            GNDQ              Reserved
V7            GEC2/IO164PDB5V3  Special
V8            IO157NPB5V2       Unassigned
V9            IO151NDB5V2       Unassigned
V10           IO151PDB5V2       Unassigned
V11           IO137NDB5V0       Unassigned
V12           IO137PDB5V0       Unassigned
V13           IO123NDB4V1       Unassigned
V14           IO123PDB4V1       Unassigned
V15           IO112NDB4V0       Unassigned
V16           GDB2/IO112PDB4V0  Special
V17           TDI               Reserved
V18           GNDQ              Reserved
V19           TDO               Reserved
V20           GND               Reserved
V21           Not Bonded        Unconnected
V22           IO105NDB3V2       Unassigned
W1            Not Bonded        Unconnected
W2            Not Bonded        Unconnected
W3            Not Bonded        Unconnected
W4            GND               Reserved
W5            IO165NDB5V3       Unassigned
W6            GEB2/IO165PDB5V3  Special
W7            IO164NDB5V3       Unassigned
W8            IO153NDB5V2       Unassigned
W9            IO153PDB5V2       Unassigned
W10           IO147NDB5V1       Unassigned
W11           IO133NDB4V2       Unassigned
W12           IO130NDB4V2       Unassigned
W13           IO130PDB4V2       Unassigned
W14           IO113NDB4V0       Unassigned
W15           GDC2/IO113PDB4V0  Special
W16           IO111NDB4V0       Unassigned
W17           GDA2/IO111PDB4V0  Special
W18           TMS               Reserved
W19           GND               Reserved
W20           Not Bonded        Unconnected
W21           Not Bonded        Unconnected
W22           Not Bonded        Unconnected
Y1            VCCIB6            Reserved
Y2            Not Bonded        Unconnected
Y3            Not Bonded        Unconnected
Y4            IO161NDB5V3       Unassigned
Y5            GND               Reserved
Y6            IO163NDB5V3       Unassigned
Y7            IO163PDB5V3       Unassigned
Y8            VCC               Reserved
Y9            VCC               Reserved
Y10           IO147PDB5V1       Unassigned
Y11           IO133PDB4V2       Unassigned
Y12           IO131NPB4V2       Unassigned
Y13           Not Bonded        Unconnected
Y14           VCC               Reserved
Y15           VCC               Reserved
Y16           Not Bonded        Unconnected
Y17           Not Bonded        Unconnected
Y18           GND               Reserved
Y19           Not Bonded        Unconnected
Y20           Not Bonded        Unconnected
Y21           Not Bonded        Unconnected
Y22           VCCIB3            Reserved
